policyID,statecode,county,line,construction,point_granularity
119736,FL,CLAY COUNTY,Residential,Masonry,1
448094,FL,CLAY COUNTY,Residential,Masonry,3
206893,FL,CLAY COUNTY,Residential,Wood,1
333743,FL,CLAY COUNTY,Residential,Wood,3
172534,FL,CLAY COUNTY,Residential,Wood,1
785275,FL,CLAY COUNTY,Residential,Masonry,3
995932,FL,CLAY COUNTY,Commercial,Reinforced Concrete,1
223488,FL,CLAY COUNTY,Residential,Wood,1
433512,FL,CLAY COUNTY,Residential,Wood,1
142071,FL,CLAY COUNTY,Residential,Masonry,1
253816,FL,CLAY COUNTY,Residential,Masonry,1
894922,FL,CLAY COUNTY,Residential,Wood,1
422834,FL,CLAY COUNTY,Residential,Wood,1
582721,FL,CLAY COUNTY,Residential,Wood,1
842700,FL,CLAY COUNTY,Residential,Wood,1
874333,FL,CLAY COUNTY,Residential,Wood,1
580146,FL,CLAY COUNTY,Residential,Wood,3
456149,FL,CLAY COUNTY,Residential,Wood,1
767862,FL,CLAY COUNTY,Residential,Wood,3
353022,FL,CLAY COUNTY,Residential,Wood,1
367814,FL,CLAY COUNTY,Residential,Wood,1
671392,FL,CLAY COUNTY,Commercial,Reinforced Concrete,3
772887,FL,CLAY COUNTY,Residential,Masonry,1
983122,FL,CLAY COUNTY,Residential,Wood,3
934215,FL,CLAY COUNTY,Residential,Wood,1
385951,FL,CLAY COUNTY,Residential,Wood,1
716332,FL,CLAY COUNTY,Residential,Wood,1
751262,FL,CLAY COUNTY,Residential,Wood,1
633663,FL,CLAY COUNTY,Residential,Wood,1
105851,FL,CLAY COUNTY,Residential,Wood,1
710400,FL,CLAY COUNTY,Residential,Wood,1
703001,FL,CLAY COUNTY,Residential,Wood,4
352792,FL,CLAY COUNTY,Residential,Masonry,1
717603,FL,CLAY COUNTY,Residential,Wood,1
937659,FL,SUWANNEE COUNTY,Residential,Wood,3
294022,FL,SUWANNEE COUNTY,Residential,Wood,3
410500,FL,SUWANNEE COUNTY,Residential,Wood,3
524433,FL,SUWANNEE COUNTY,Residential,Wood,3
779298,FL,SUWANNEE COUNTY,Residential,Masonry,3
491831,FL,SUWANNEE COUNTY,Residential,Wood,3
814637,FL,SUWANNEE COUNTY,Residential,Wood,3
737515,FL,SUWANNEE COUNTY,Residential,Wood,3
222653,FL,SUWANNEE COUNTY,Residential,Wood,3
788543,FL,SUWANNEE COUNTY,Residential,Wood,3
691681,FL,SUWANNEE COUNTY,Residential,Wood,3
368807,FL,SUWANNEE COUNTY,Residential,Wood,3
174002,FL,SUWANNEE COUNTY,Residential,Wood,1
198760,FL,SUWANNEE COUNTY,Residential,Wood,1
831395,FL,SUWANNEE COUNTY,Residential,Wood,1
305698,FL,SUWANNEE COUNTY,Residential,Wood,1
515722,FL,SUWANNEE COUNTY,Residential,Wood,1
415582,FL,SUWANNEE COUNTY,Residential,Wood,3
783533,FL,SUWANNEE COUNTY,Residential,Wood,4
640802,FL,SUWANNEE COUNTY,Residential,Wood,1
403866,FL,SUWANNEE COUNTY,Residential,Wood,3
828788,FL,SUWANNEE COUNTY,Residential,Wood,1
751490,FL,SUWANNEE COUNTY,Residential,Wood,4
972562,FL,SUWANNEE COUNTY,Residential,Wood,4
367541,FL,SUWANNEE COUNTY,Residential,Wood,4
481360,FL,SUWANNEE COUNTY,Residential,Wood,3
920232,FL,NASSAU COUNTY,Residential,Wood,1
727659,FL,NASSAU COUNTY,Residential,Wood,1
471817,FL,NASSAU COUNTY,Residential,Wood,1
983043,FL,NASSAU COUNTY,Residential,Wood,1
578286,FL,NASSAU COUNTY,Residential,Wood,1
347276,FL,NASSAU COUNTY,Residential,Wood,3
477786,FL,NASSAU COUNTY,Commercial,Reinforced Masonry,4
265907,FL,NASSAU COUNTY,Residential,Wood,3
107560,FL,NASSAU COUNTY,Residential,Masonry,3
908183,FL,NASSAU COUNTY,Residential,Wood,3
356024,FL,NASSAU COUNTY,Residential,Wood,3
575299,FL,NASSAU COUNTY,Residential,Wood,1
790478,FL,NASSAU COUNTY,Residential,Wood,3
801776,FL,NASSAU COUNTY,Residential,Wood,1
291781,FL,NASSAU COUNTY,Residential,Masonry,3
537286,FL,NASSAU COUNTY,Residential,Masonry,1
289305,FL,COLUMBIA COUNTY,Residential,Wood,4
697409,FL,COLUMBIA COUNTY,Residential,Wood,1
633944,FL,COLUMBIA COUNTY,Residential,Wood,4
963511,FL,COLUMBIA COUNTY,Residential,Wood,4
729649,FL,COLUMBIA COUNTY,Residential,Masonry,1
862584,FL,COLUMBIA COUNTY,Residential,Wood,4
371891,FL,COLUMBIA COUNTY,Residential,Wood,4
785595,FL,COLUMBIA COUNTY,Residential,Wood,3
567696,FL,COLUMBIA COUNTY,Residential,Wood,4
219025,FL,COLUMBIA COUNTY,Residential,Wood,4
447216,FL,COLUMBIA COUNTY,Residential,Wood,4
305141,FL,COLUMBIA COUNTY,Residential,Wood,4
625575,FL,COLUMBIA COUNTY,Residential,Wood,4
262109,FL,COLUMBIA COUNTY,Residential,Wood,1
228457,FL,COLUMBIA COUNTY,Residential,Masonry,1
622799,FL,COLUMBIA COUNTY,Residential,Wood,1
233271,FL,COLUMBIA COUNTY,Commercial,Reinforced Masonry,1
932950,FL,COLUMBIA COUNTY,Residential,Wood,1
641952,FL,COLUMBIA COUNTY,Commercial,Reinforced Masonry,4
796260,FL,COLUMBIA COUNTY,Residential,Masonry,4
301822,FL,COLUMBIA COUNTY,Commercial,Reinforced Masonry,4
559927,FL,COLUMBIA COUNTY,Residential,Wood,4
224400,FL,COLUMBIA COUNTY,Residential,Masonry,4
123936,FL,COLUMBIA COUNTY,Commercial,Reinforced Masonry,4
333818,FL,COLUMBIA COUNTY,Residential,Masonry,4
254323,FL,COLUMBIA COUNTY,Residential,Masonry,4
247444,FL,COLUMBIA COUNTY,Residential,Wood,4
882598,FL,COLUMBIA COUNTY,Residential,Masonry,4
386918,FL,COLUMBIA COUNTY,Residential,Wood,4
497337,FL,COLUMBIA COUNTY,Residential,Wood,4
526844,FL,COLUMBIA COUNTY,Commercial,Reinforced Masonry,4
623400,FL,COLUMBIA COUNTY,Residential,Wood,4
826170,FL,COLUMBIA COUNTY,Residential,Wood,1
185483,FL,COLUMBIA COUNTY,Residential,Wood,1
920003,FL,COLUMBIA COUNTY,Residential,Masonry,1
274246,FL,COLUMBIA COUNTY,Residential,Wood,1
423636,FL,COLUMBIA COUNTY,Residential,Masonry,1
970906,FL,COLUMBIA COUNTY,Commercial,Reinforced Masonry,3
227898,FL,COLUMBIA COUNTY,Residential,Wood,1
525138,FL,COLUMBIA COUNTY,Residential,Wood,1
923627,FL,COLUMBIA COUNTY,Residential,Wood,1
619743,FL,COLUMBIA COUNTY,Residential,Wood,1
910727,FL,COLUMBIA COUNTY,Residential,Wood,1
363647,FL,COLUMBIA COUNTY,Residential,Wood,1
512519,FL,COLUMBIA COUNTY,Residential,Wood,1
904304,FL,COLUMBIA COUNTY,Residential,Wood,1
835349,FL,COLUMBIA COUNTY,Residential,Wood,1
891725,FL,COLUMBIA COUNTY,Residential,Wood,1
923503,FL,COLUMBIA COUNTY,Residential,Wood,1
292347,FL,COLUMBIA COUNTY,Residential,Wood,3
363828,FL,COLUMBIA COUNTY,Residential,Wood,3
110490,FL,COLUMBIA COUNTY,Residential,Wood,3
480733,FL,COLUMBIA COUNTY,Residential,Masonry,4
993346,FL,COLUMBIA COUNTY,Residential,Masonry,4
934992,FL,ST  JOHNS COUNTY,Residential,Wood,4
645841,FL,ST  JOHNS COUNTY,Residential,Masonry,4
747846,FL,ST  JOHNS COUNTY,Residential,Wood,4
482457,FL,ST  JOHNS COUNTY,Residential,Wood,1
574787,FL,ST  JOHNS COUNTY,Residential,Wood,1
831418,FL,ST  JOHNS COUNTY,Residential,Wood,1
968562,FL,ST  JOHNS COUNTY,Residential,Wood,1
576324,FL,ST  JOHNS COUNTY,Residential,Wood,1
290435,FL,ST  JOHNS COUNTY,Residential,Wood,1
526086,FL,ST  JOHNS COUNTY,Residential,Wood,1
119823,FL,ST  JOHNS COUNTY,Residential,Wood,1
497414,FL,ST  JOHNS COUNTY,Residential,Wood,1
340883,FL,ST  JOHNS COUNTY,Residential,Wood,1
892551,FL,ST  JOHNS COUNTY,Residential,Wood,1
670595,FL,ST  JOHNS COUNTY,Residential,Wood,1
194101,FL,ST  JOHNS COUNTY,Residential,Wood,1
167200,FL,ST  JOHNS COUNTY,Residential,Wood,1
139064,FL,ST  JOHNS COUNTY,Residential,Wood,1
846636,FL,ST  JOHNS COUNTY,Residential,Wood,1
310177,FL,NASSAU COUNTY,Residential,Wood,1
865452,FL,NASSAU COUNTY,Residential,Wood,3
783429,FL,NASSAU COUNTY,Residential,Wood,3
878060,FL,NASSAU COUNTY,Residential,Wood,1
935342,FL,NASSAU COUNTY,Residential,Wood,1
456376,FL,NASSAU COUNTY,Residential,Wood,1
363001,FL,NASSAU COUNTY,Residential,Wood,1
478864,FL,NASSAU COUNTY,Residential,Masonry,1
600402,FL,NASSAU COUNTY,Commercial,Reinforced Masonry,1
483983,FL,NASSAU COUNTY,Residential,Masonry,1
991615,FL,NASSAU COUNTY,Residential,Wood,4
644573,FL,NASSAU COUNTY,Residential,Masonry,1
853278,FL,NASSAU COUNTY,Residential,Wood,1
100658,FL,NASSAU COUNTY,Residential,Wood,4
433115,FL,NASSAU COUNTY,Residential,Wood,1
760337,FL,NASSAU COUNTY,Residential,Wood,1
884738,FL,NASSAU COUNTY,Residential,Masonry,1
610102,FL,NASSAU COUNTY,Commercial,Reinforced Masonry,1
830823,FL,NASSAU COUNTY,Residential,Masonry,3
618364,FL,NASSAU COUNTY,Residential,Wood,1
712563,FL,NASSAU COUNTY,Residential,Wood,1
493030,FL,NASSAU COUNTY,Residential,Masonry,1
188150,FL,NASSAU COUNTY,Commercial,Reinforced Masonry,1
589642,FL,NASSAU COUNTY,Residential,Masonry,1
846109,FL,NASSAU COUNTY,Residential,Wood,3
399079,FL,NASSAU COUNTY,Residential,Wood,1
680135,FL,NASSAU COUNTY,Residential,Wood,1
621379,FL,NASSAU COUNTY,Residential,Wood,1
606710,FL,NASSAU COUNTY,Residential,Wood,1
443319,FL,NASSAU COUNTY,Residential,Wood,1
228591,FL,NASSAU COUNTY,Residential,Wood,1
721610,FL,NASSAU COUNTY,Residential,Wood,1
507395,FL,NASSAU COUNTY,Residential,Wood,1
213399,FL,NASSAU COUNTY,Residential,Wood,1
579400,FL,NASSAU COUNTY,Residential,Wood,1
509951,FL,NASSAU COUNTY,Residential,Wood,1
930798,FL,NASSAU COUNTY,Residential,Wood,1
729247,FL,NASSAU COUNTY,Residential,Wood,1
288344,FL,NASSAU COUNTY,Residential,Wood,1
275351,FL,NASSAU COUNTY,Residential,Wood,1
976690,FL,NASSAU COUNTY,Residential,Wood,1
507111,FL,NASSAU COUNTY,Residential,Wood,1
547458,FL,NASSAU COUNTY,Residential,Wood,1
827732,FL,NASSAU COUNTY,Residential,Wood,1
229489,FL,NASSAU COUNTY,Residential,Wood,1
175251,FL,NASSAU COUNTY,Residential,Wood,1
590043,FL,NASSAU COUNTY,Residential,Wood,1
476037,FL,NASSAU COUNTY,Residential,Wood,1
674960,FL,NASSAU COUNTY,Residential,Wood,1
743790,FL,NASSAU COUNTY,Commercial,Reinforced Masonry,3
817283,FL,NASSAU COUNTY,Commercial,Reinforced Concrete,1
201980,FL,NASSAU COUNTY,Residential,Wood,1
351505,FL,NASSAU COUNTY,Residential,Wood,1
798806,FL,NASSAU COUNTY,Residential,Masonry,1
153643,FL,NASSAU COUNTY,Residential,Wood,1
683653,FL,NASSAU COUNTY,Residential,Wood,1
475264,FL,NASSAU COUNTY,Commercial,Reinforced Concrete,1
912944,FL,NASSAU COUNTY,Residential,Masonry,4
945134,FL,NASSAU COUNTY,Residential,Wood,4
219959,FL,NASSAU COUNTY,Residential,Wood,4
793504,FL,NASSAU COUNTY,Residential,Wood,3
450423,FL,NASSAU COUNTY,Residential,Wood,1
505178,FL,NASSAU COUNTY,Residential,Wood,1
408688,FL,NASSAU COUNTY,Residential,Masonry,1
477759,FL,NASSAU COUNTY,Residential,Wood,1
882441,FL,NASSAU COUNTY,Residential,Wood,1
727602,FL,NASSAU COUNTY,Residential,Wood,1
313226,FL,NASSAU COUNTY,Residential,Wood,1
337027,FL,NASSAU COUNTY,Residential,Wood,4
649251,FL,NASSAU COUNTY,Residential,Wood,3
142564,FL,NASSAU COUNTY,Residential,Wood,1
197782,FL,NASSAU COUNTY,Residential,Masonry,1
709787,FL,NASSAU COUNTY,Residential,Wood,1
655065,FL,NASSAU COUNTY,Residential,Wood,3
176778,FL,NASSAU COUNTY,Commercial,Reinforced Masonry,1
559179,FL,NASSAU COUNTY,Residential,Masonry,1
698071,FL,NASSAU COUNTY,Residential,Wood,3
642950,FL,NASSAU COUNTY,Residential,Masonry,4
477240,FL,NASSAU COUNTY,Residential,Wood,1
672348,FL,NASSAU COUNTY,Residential,Wood,1
922844,FL,NASSAU COUNTY,Residential,Wood,1
948580,FL,NASSAU COUNTY,Residential,Wood,3
364552,FL,NASSAU COUNTY,Residential,Wood,1
561601,FL,NASSAU COUNTY,Residential,Masonry,1
584749,FL,NASSAU COUNTY,Residential,Wood,1
601327,FL,COLUMBIA COUNTY,Residential,Wood,1
302578,FL,COLUMBIA COUNTY,Residential,Wood,1
756585,FL,COLUMBIA COUNTY,Residential,Wood,1
627591,FL,COLUMBIA COUNTY,Residential,Wood,1
663563,FL,COLUMBIA COUNTY,Residential,Masonry,3
108959,FL,COLUMBIA COUNTY,Residential,Wood,3
951069,FL,COLUMBIA COUNTY,Residential,Masonry,1
490641,FL,BAKER COUNTY,Residential,Wood,3
443968,FL,BAKER COUNTY,Residential,Wood,3
433688,FL,CLAY COUNTY,Residential,Wood,1
168578,FL,CLAY COUNTY,Residential,Masonry,1
294375,FL,CLAY COUNTY,Residential,Wood,1
902110,FL,CLAY COUNTY,Residential,Wood,1
279816,FL,CLAY COUNTY,Residential,Masonry,1
994565,FL,CLAY COUNTY,Residential,Wood,4
930535,FL,CLAY COUNTY,Residential,Wood,4
844642,FL,CLAY COUNTY,Residential,Wood,4
292887,FL,CLAY COUNTY,Residential,Wood,4
655128,FL,CLAY COUNTY,Residential,Wood,4
164038,FL,CLAY COUNTY,Residential,Wood,4
163057,FL,CLAY COUNTY,Residential,Wood,4
327730,FL,CLAY COUNTY,Residential,Wood,4
218187,FL,CLAY COUNTY,Residential,Wood,4
697530,FL,CLAY COUNTY,Residential,Wood,4
619053,FL,CLAY COUNTY,Residential,Wood,4
431406,FL,CLAY COUNTY,Residential,Wood,3
256801,FL,CLAY COUNTY,Residential,Wood,4
571398,FL,CLAY COUNTY,Residential,Wood,3
239669,FL,CLAY COUNTY,Residential,Wood,3
530369,FL,CLAY COUNTY,Residential,Wood,4
948187,FL,CLAY COUNTY,Residential,Wood,3
571059,FL,CLAY COUNTY,Residential,Wood,4
470539,FL,CLAY COUNTY,Residential,Wood,3
791046,FL,CLAY COUNTY,Residential,Wood,3
563971,FL,CLAY COUNTY,Residential,Wood,3
823903,FL,CLAY COUNTY,Residential,Wood,3
812504,FL,CLAY COUNTY,Residential,Wood,4
597719,FL,CLAY COUNTY,Residential,Wood,1
716513,FL,CLAY COUNTY,Residential,Wood,3
378286,FL,CLAY COUNTY,Residential,Wood,4
698982,FL,CLAY COUNTY,Residential,Wood,4
624550,FL,CLAY COUNTY,Residential,Wood,4
666076,FL,CLAY COUNTY,Residential,Wood,4
474145,FL,CLAY COUNTY,Residential,Wood,4
572929,FL,CLAY COUNTY,Residential,Wood,4
640205,FL,CLAY COUNTY,Residential,Wood,3
295930,FL,CLAY COUNTY,Residential,Wood,3
823004,FL,CLAY COUNTY,Residential,Wood,4
230536,FL,CLAY COUNTY,Residential,Wood,3
936142,FL,CLAY COUNTY,Residential,Wood,3
724639,FL,CLAY COUNTY,Residential,Wood,4
119986,FL,CLAY COUNTY,Residential,Wood,4
603370,FL,CLAY COUNTY,Residential,Wood,4
532496,FL,CLAY COUNTY,Residential,Wood,4
786954,FL,CLAY COUNTY,Residential,Wood,4
416348,FL,CLAY COUNTY,Residential,Wood,4
506364,FL,CLAY COUNTY,Residential,Masonry,1
311994,FL,CLAY COUNTY,Residential,Wood,1
807442,FL,CLAY COUNTY,Residential,Wood,1
235695,FL,CLAY COUNTY,Residential,Wood,1
481294,FL,CLAY COUNTY,Residential,Wood,1
292670,FL,CLAY COUNTY,Residential,Wood,1
127739,FL,CLAY COUNTY,Residential,Wood,1
869056,FL,CLAY COUNTY,Residential,Wood,3
514471,FL,CLAY COUNTY,Residential,Wood,3
903764,FL,CLAY COUNTY,Residential,Wood,3
192068,FL,CLAY COUNTY,Residential,Wood,3
109815,FL,CLAY COUNTY,Residential,Wood,3
495339,FL,CLAY COUNTY,Residential,Masonry,3
752123,FL,CLAY COUNTY,Residential,Wood,4
412775,FL,CLAY COUNTY,Residential,Wood,3
249958,FL,CLAY COUNTY,Residential,Wood,3
754919,FL,CLAY COUNTY,Residential,Wood,3
829637,FL,CLAY COUNTY,Residential,Wood,3
931429,FL,CLAY COUNTY,Residential,Wood,3
565451,FL,CLAY COUNTY,Residential,Wood,3
722334,FL,CLAY COUNTY,Residential,Wood,3
630898,FL,CLAY COUNTY,Residential,Wood,3
166536,FL,CLAY COUNTY,Residential,Wood,3
469135,FL,CLAY COUNTY,Residential,Masonry,1
678786,FL,CLAY COUNTY,Residential,Masonry,1
284473,FL,CLAY COUNTY,Residential,Masonry,3
499389,FL,CLAY COUNTY,Residential,Masonry,1
541241,FL,CLAY COUNTY,Commercial,Reinforced Masonry,1
